event_id,event_name,date,year,country,state,city
1802,Keppinautur 2023,March 11,2023,Iceland,-,Reykjavík
1798,Fosse Aux Lions 2023,March 11,2023,France,-,Lyon
1890,Battle in the Valley,March 11,2023,United States,Vermont,Northfield
1829,FechtBerg Poker Cup 2023,February 26,2023,Poland,-,Bielsko-Biala
1786,vorschlag RAW - KRViSE 2023,February 25,2023,Hungary,-,Budapest
1821,Symphony of Steel 2023,February 25,2023,Germany,-,Ulm
1817,Glasgow HEMA Open 2023,February 25,2023,United Kingdom,-,Glasgow
1797,SoCal Swordfight 2023,February 17,2023,United States,California,Los Angeles
1783,Rotycí Spár 2023,February 11,2023,Czech Republic,-,Prague
1784,Midwinter Armizare Open 2023,January 29,2023,United States,Illinois,Chicago
1787,WEIRD Open 2023,January 27,2023,United States,Texas,Austin
1794,Helsinki Longsword Open 2023,January 27,2023,Finland,-,Helsinki
1793,CapoFiore Comp 2023,January 27,2023,Australia,Victoria,Melbourne
1806,Looking Sharpe 2023,January 21,2023,United States,Ohio,Columbus
1859,IV Torneo Ciudad de Coruña de Esgrima Histórica 2023,January 14,2023,Spain,-,A Coruña
1865,Kings Cup 2023,January 13,2023,United States,Maryland,Lockport
1852,Grand Challenge de Sabre 2022,December 17,2022,France,-,Paris
1796,Vánocní šermírský prátelák 2022,December 10,2022,Czech Republic,-,Rožnov pod Radhoštem
1788,Koliada 2022,December 10,2022,Poland,-,Katy Wroclawskie
1846,King of the Green Mountain 2022,December 10,2022,United States,Vermont,Northfield
1887,Chlausturnier Saber 2022,December 10,2022,Switzerland,-,Winterthur
1789,Wessex League: London 2022,December 10,2022,United Kingdom,-,London
1905,Bloody Belgian Waffles I. 2022,December 10,2022,Belgium,-,Ghent
1785,As You Wish 2022,December 10,2022,United States,Ohio,Columbus
1804,HVN Singlestick Charity Tournament 2022,December 6,2022,Netherlands,-,Oegstgeest
1818,Cakefecht 2022,December 3,2022,United States,Massachusetts,Watertown
1950,The Duelling Arts - Winter Tournament 2022,December 2,2022,Canada,British Columbia,Vancouver
1822,Copa Ignis 2022,November 27,2022,Brazil,-,Parana
1772,Pardubický mec 2022,November 26,2022,Czech Republic,-,Pardubice
1795,Swordplay Serbia 2022,November 25,2022,Serbia,-,Belgrade
1778,Blue Box Open 2022,November 20,2022,United States,Ohio,Columbus
1777,Frauschlag: HEMA FEDER Women Tournament 2022,November 19,2022,Poland,-,Zgierz
1855,Umeå Open 2022,November 19,2022,Sweden,-,Umeå
1782,TURNIEJ HEMA - KORD I PUKLERZ 2022,November 12,2022,Poland,-,Warsaw
1801,Nederlandse HEMA Kampioenschappen 2022: Evenement: 3,November 12,2022,Netherlands,-,Breda
1809,Dresdner Fechtschul 2022,November 12,2022,Germany,-,Dresden
1757,Krkavcí podzimní fechtík 2022,November 5,2022,Czech Republic,-,Prague
1776,AFO Tournament of Defense 2022,November 5,2022,United States,Texas,Bellevile
1803,Mid Continental HEMA Open 2022,November 4,2022,United States,Colorado,Denver
1756,Spooky Scary Messer Showdown,October 30,2022,Canada,British Columbia,Vancouver
1750,Sofia CrossSwords 2022,October 29,2022,Bulgaria,-,Sofia
1764,Wessex League 2022: Cardiff,October 29,2022,United Kingdom,-,Cardiff
1792,Gesellen Fechten 2022,October 28,2022,United States,Oklahoma,Oklahoma City
1760,Oktoberfecht 2022,October 22,2022,Australia,Victoria,Melbourne
1771,Valkyrie Cup 2 2022,October 22,2022,Poland,Lower Silesia,Wroclaw
1754,The English Sidesword Open 2022,October 17,2022,United Kingdom,-,London
1765,Wessex League 2022: Southampton,October 15,2022,United Kingdom,-,Southampton
1763,Salt Lake Open 2022,October 14,2022,United States,Utah,Salt Lake City
1947,The Duelling Arts - Fall Tournament 2022,October 14,2022,Canada,British Columbia,Vancouver
1868,Clash of Steel 2022,October 9,2022,Taiwan,-,New Taipei City
1755,Podzimové mecoklání 2 2022,October 9,2022,Czech Republic,-,Praha
1766,Duel for The Jewel 2022,October 8,2022,United States,Ohio,Dayton
